Date,elecCEF,elecCampus,cwLoads,hwLoads,hwStorage,cwStorage,gHeater,elecHeater,hwHeater,elecHRC,hwHRC,cwHRC,elecChiller,cwChiller,elecPrice,elecGrid,gGrid
2016-07-20T18:00:00.0,4557.685514617879,28050.02,11068.0716,45.477722,540.498428115403,85500.0,0.0,0.0,0.0,0.0,0.0,0.0,4557.685514617879,10002.382290782334,0.032,32607.70551461788,0.0
2016-07-20T19:00:00.0,4545.92551461788,28061.78,11511.4328,36.152694,495.0207061154031,84434.31069078234,0.0,0.0,0.0,0.0,0.0,0.0,4545.92551461788,9976.573573756485,0.032,32607.70551461788,0.0
2016-07-20T20:00:00.0,4372.9655146178775,28234.74,12654.0717,36.865722,458.8680121154031,82899.45146453883,0.0,0.0,0.0,0.0,0.0,0.0,4372.9655146178775,9596.99230702251,0.032,32607.70551461788,0.0
2016-07-20T21:00:00.0,4479.625514617877,28128.08,13502.199,35.058,422.00229011540307,79842.37207156133,0.0,0.0,0.0,0.0,0.0,0.0,4479.625514617877,9831.07034766685,0.034,32607.70551461788,0.0
2016-07-20T22:00:00.0,4524.49551461788,28083.21,14761.8657,30.998556,386.9442901154031,76171.24341922818,0.0,0.0,0.0,0.0,0.0,0.0,4524.49551461788,9929.542892985733,0.035,32607.70551461788,0.0
2016-07-20T23:00:00.0,2371.6892383860063,27664.53,14239.5531,34.661833,355.94573411540307,71338.92061221391,0.0,0.0,0.0,0.0,0.0,0.0,2371.6892383860063,5204.953777786082,0.038,30036.219238386006,0.0
2016-07-21T00:00:00.0,0.0,26813.14,14315.1828,32.842028000000006,321.28390111540307,62304.32129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040999999999999995,26813.14,0.0
2016-07-21T01:00:00.0,0.0,26238.4,13128.1966,33.106305,288.44187311540304,47989.13849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,26238.4,0.0
2016-07-21T02:00:00.0,0.0,25478.04,11758.2707,32.9045,255.33556811540305,34860.94189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052000000000000005,25478.04,0.0
2016-07-21T03:00:00.0,0.0,25362.04,10160.6226,35.652194,222.43106811540304,23102.67119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,25362.04,0.0
