Date,elecCEF,elecCampus,cwLoads,hwLoads,hwStorage,cwStorage,gHeater,elecHeater,hwHeater,elecHRC,hwHRC,cwHRC,elecChiller,cwChiller,elecPrice,elecGrid,gasGrid,umHot,umCold
2016-08-03T19:00:00.0,1.9794663385294805e-7,28316.36,13728.8124,33.034333000000004,311.742825434316,65188.054111658406,9.290504683781255e-12,1.5793857962428134e-11,7.896928981214067e-12,2.9789501159962808e-8,3.6814937130279763e-10,2.244813239651205e-8,1.6814133883502282e-7,3.690061423759444e-7,0.037562221527099614,28316.360000197943,9.290504683781255e-12,0.002913096550525771,0.0018917896963910042
2016-08-03T20:00:00.0,8.166533115021652e-7,28377.71,14538.0624,32.514972,278.71140553123985,51459.24360383955,9.291158777199097e-12,1.5794969921238464e-11,7.897484960619232e-12,3.43507181926287e-8,4.245185321670428e-10,2.588527635164895e-8,7.822867983396152e-7,1.7168213104938226e-6,0.03928617858886711,28377.71000081665,9.291158777199097e-12,0.0029130965505254043,0.00189178969637499
2016-08-03T21:00:00.0,5371.189290314665,28344.03,14957.3285,29.622721999999996,246.1993466282219,36921.183097371955,9.291408327566086e-12,1.5795394156862347e-11,7.897697078431174e-12,3.6481643200428805e-8,4.5085326995611955e-10,2.749105304610485e-8,5371.189290278168,11787.712966418312,0.0419507904052734,33715.219290314664,9.291408327566086e-12,0.0029130965505238175,0.001891789696361418
2016-08-03T22:00:00.0,5401.589291483182,28313.63,14961.6249,22.817778,216.57953772523103,33751.56945560746,9.291377239875092e-12,1.5795341307787655e-11,7.897670653893828e-12,3.6201885579675516e-8,4.473959246436068e-10,2.7280239307537e-8,5401.589291446964,11854.42938034272,0.0452157592773437,33715.21929148318,9.291377239875092e-12,0.0029130965505195006,0.0018917896963610392
2016-08-03T23:00:00.0,5467.920000060289,27879.61,15241.479,31.188833,193.76467282223732,30644.37582776715,9.294132627479454e-12,1.580002546671507e-11,7.900012733357536e-12,1.135626222702323e-7,1.4034477370998483e-9,8.557608153047855e-8,5467.91999994671,11999.999999883048,0.0474300994873046,33347.53000006029,9.294132627479454e-12,0.0029130965505225503,0.0018917896963546845
2016-08-04T00:00:00.0,6685.839291576393,27029.38,14526.6294,35.948667,162.5787529202,27402.898719525467,9.295435089439704e-12,1.5802239652047497e-11,7.901119826023748e-12,1217.9192916125621,15.051484719298779,917.7734584938279,5467.919999963816,11999.999999920588,0.0483839111328125,33715.219291576395,9.295435089439704e-12,0.0029130965505217636,0.0018917896963690896
2016-08-04T01:00:00.0,7534.989291661561,26180.23,13771.4652,31.748804999999997,141.68448373605702,25794.044669729585,9.29544983560194e-12,1.58022647205233e-11,7.90113236026165e-12,2067.0692916978805,25.545585879117287,1557.657675555932,5467.919999963664,11999.999999920256,0.0581516914367675,33715.21929166156,9.29544983560194e-12,0.0029130965505178453,0.0018917896963844293
2016-08-04T02:00:00.0,1.6692268037188298e-8,25257.36,11201.597,22.226861,135.48417771173314,25580.239036995466,9.275575961990057e-12,1.5768479135383095e-11,7.884239567691548e-12,7.385963962875744e-9,9.127839955414748e-11,5.565756070374846e-9,9.290535595177171e-9,2.0389184030147852e-8,0.05729195022583,25257.36000001669,9.275575961990057e-12,0.0029130965505120635,0.0018917896964366651
2016-08-04T03:00:00.0,3.6847609250567e-8,25012.32,9878.64582,36.671139,113.26022980838255,14378.643928811118,9.284938574543745e-12,1.5784395576724366e-11,7.892197788362183e-12,1.3981082906986987e-8,1.7278325188128047e-10,1.0535564139102466e-8,2.285074194800329e-8,5.0148667752278645e-8,0.0480126113891601,25012.320000036845,9.284938574543745e-12,0.0029130965505153174,0.0018917896964859415
2016-08-04T04:00:00.0,3589.7023417838714,24635.65,7878.03009,46.594916999999995,76.59200390511387,4500.000000661497,9.291888219547022e-12,1.5796209973229937e-11,7.898104986614969e-12,3.978271569614713e-8,4.91649111329825e-10,2.997860434937957e-8,3589.702341744073,7878.028226625275,0.0409194984436035,28225.35234178387,9.291888219547022e-12,0.0029130965505116523,0.0018627293896956083
2016-08-04T05:00:00.0,6708.320907216525,23224.32,6826.324009999999,45.14525,30.00000000216389,4500.0000000461405,9.264999125019814e-12,1.5750498512533684e-11,7.875249256266842e-12,3652.7891903644813,45.142482806718405,2752.590415043805,3055.531716852028,6705.727333652346,0.035586441040039,29932.640907216522,9.264999125019814e-12,0.0027674033631727257,0.0014461015507370115
2016-08-04T06:00:00.0,11174.819291629025,22540.4,6252.51612,43.253583,30.000000212253344,7131.995184843843,9.264674763828939e-12,1.5749947098509197e-11,7.874973549254598e-12,6989.578163647247,86.37972125820282,5267.056174280659,4185.241127981762,9185.008839884478,0.0328250885009765,33715.21929162902,9.264674763828939e-12,0.0027659180943029158,0.0014461015507445283
2016-08-04T07:00:00.0,11724.157071683128,21991.06222,5990.333263,38.84355565,73.12890438855831,15331.545525110534,9.264663023301372e-12,1.5749927139612333e-11,7.874963569806166e-12,8116.543231573863,100.30716096286675,6116.290302613826,3607.6138401092503,7917.337137579007,0.0300230102539062,33715.219291683126,9.264663023301372e-12,0.0027659180942939342,0.0014461015507497767
2016-08-04T08:00:00.0,12439.376511692091,21275.842780000003,5874.61338,40.43352764,134.59527561952734,23374.841148404914,9.26466383046566e-12,1.574992851179162e-11,7.87496425589581e-12,9075.205526867016,112.1546544609523,6838.698442740993,3364.1709848250584,7383.072871933148,0.028618370056152306,33715.21929169209,9.26466383046566e-12,0.002765918094290726,0.0014461015507518822
2016-08-04T09:00:00.0,13039.449291688474,20675.77,5719.493,42.236334,206.31916835858172,31722.00052918061,9.264665101074077e-12,1.574993067182593e-11,7.874965335912965e-12,9725.051074932511,120.18567950831945,7328.395091970698,3314.3982167559457,7273.840619663665,0.028089530944824203,33715.219291688474,9.264665101074077e-12,0.002765918094289119,0.0014461015507552025
2016-08-04T10:00:00.0,13082.809291689742,20632.41,5650.82634,40.161417,284.2712797850039,40604.74468691652,9.264664108438244e-12,1.5749928984345014e-11,7.874964492172507e-12,9845.296646914147,121.67171754196337,7419.007167192888,3237.512644775579,7105.1060983531115,0.027823200225830003,33715.21929168974,9.264664108438244e-12,0.002765918094287874,0.001446101550756749
2016-08-04T11:00:00.0,12914.719291689635,20800.5,5629.8888799999995,39.988027,365.78434624506866,49478.03305856407,9.264665132432053e-12,1.574993072513449e-11,7.874965362567245e-12,9608.57319165864,118.74620392705027,7240.6221906737965,3306.146100030979,7255.730369202868,0.0281110897064209,33715.21929168963,9.264665132432053e-12,0.002765918094289014,0.0014461015507573616
2016-08-04T12:00:00.0,12178.539291688281,21536.68,5747.11336,40.1020276,444.5452890902207,58344.49818454229,9.26466573045315e-12,1.5749931741770353e-11,7.874965870885176e-12,8836.560990383785,109.20539943316993,6658.865819095727,3341.97830130448,7334.3683915737165,0.02913972091674799,33715.21929168828,9.26466573045315e-12,0.0027659180942923196,0.001446101550755026
2016-08-04T13:00:00.0,10666.759291681798,23048.46,5887.94667,51.713361,513.6514268414929,66590.6204813133,9.264662294857782e-12,1.574992590125823e-11,7.874962950629114e-12,7425.505658655336,91.76707005464813,5595.55305211269,3241.253633026445,7113.316141479272,0.0320924606323242,33715.219291681795,9.264662294857782e-12,0.0027659180943015805,0.0014461015507525432
2016-08-04T14:00:00.0,9574.519291682709,24140.7,6005.58098,57.5268613,553.7079018142433,73411.5444510068,9.264664580805723e-12,1.574992978736973e-11,7.874964893684865e-12,5972.976528354311,73.81619255428821,4500.987350871232,3601.5427633283825,7904.013438371554,0.0321647109985351,33715.21929168271,9.264664580805723e-12,0.0027659180943221907,0.0014461015507509789
2016-08-04T15:00:00.0,8107.349291475004,25607.87,6221.47671,50.4463611,569.9999989866337,79810.96570635114,9.264744874260651e-12,1.5750066286243108e-11,7.875033143121554e-12,4081.7387550748267,50.443595830422346,3075.8290140501426,4025.610536400162,8834.680543387969,0.0308727092742919,33715.219291475005,9.264744874260651e-12,0.0027662291890710165,0.0014461015507486916
2016-08-04T16:00:00.0,3071.109640628118,26600.62,6739.91656,45.057139,569.9999999462531,85499.9999998908,9.263160215216083e-12,1.574737236586734e-11,7.87368618293367e-12,7.820550334434608e-8,9.664917426457435e-10,5.893242333205752e-8,3071.109640549897,6739.914937782331,0.0313267097473144,29671.729640628117,9.263160215216083e-12,0.0027720949388251944,0.0016221337523316358
2016-08-04T17:00:00.0,2458.468955896595,27298.35,7899.42581,36.467167,524.9456330421663,85499.99999986582,9.260787760544832e-12,1.5743339192926214e-11,7.871669596463107e-12,4.2372188137102425e-8,5.236507432478804e-10,3.192992336877319e-8,2458.4689558542073,5395.402176741884,0.032274909973144514,29756.818955896593,9.260787760544832e-12,0.0027720949388293685,0.0017653875821668874
2016-08-04T18:00:00.0,1.2655802553650937e-7,27710.16,9553.86337,31.925,488.48123813763647,82995.97813202722,9.259263051475128e-12,1.574074718750772e-11,7.87037359375386e-12,2.9359991830002364e-8,3.6284134049877257e-10,2.2124471981632473e-8,9.718229295931949e-8,2.1327808664205654e-7,0.0354091186523437,27710.160000126554,9.259263051475128e-12,0.0027720949388310634,0.0017653875820937445
2016-08-04T19:00:00.0,8.633503406190808e-8,27784.87,10524.6457,40.949028000000006,456.55901023294604,73442.1165276502,9.258399732344433e-12,1.5739279544985536e-11,7.869639772492768e-12,2.501007338844161e-8,3.090834836323625e-10,1.8846553880022104e-8,6.130922139392148e-8,1.3455036956046498e-7,0.038253528594970714,27784.870000086335,9.258399732344433e-12,0.0027720949388358052,0.0017653875820426677
2016-08-04T20:00:00.0,9.585998471066441e-8,28018.67,10785.5254,34.183889,415.6127543282019,62917.47259319119,9.258681729478517e-12,1.573975894011348e-11,7.86987947005674e-12,2.6282067377171153e-8,3.248032429105439e-10,1.9805075787228284e-8,6.956217757455315e-8,1.5266246230644151e-7,0.03977127075195309,28018.670000095855,9.258681729478517e-12,0.0027720949388351053,0.0017653875820298093
2016-08-04T21:00:00.0,9.5838063823587e-8,27918.7,12895.5832,31.883305,381.43163742347343,52131.948958751236,9.258681151679875e-12,1.5739757957855786e-11,7.869878978927893e-12,2.6279328652880693e-8,3.247693967705803e-10,1.9803011998206116e-8,6.954299541274845e-8,1.5262036477362166e-7,0.0424278907775878,27918.70000009584,9.258681151679875e-12,0.0027720949388350884,0.0017653875819692013
2016-08-04T22:00:00.0,1.2284181063024358e-7,27945.54,12698.1896,33.659028,349.55110451874475,39236.367524311245,9.2591929304396e-12,1.574062798174732e-11,7.87031399087366e-12,2.895103952277232e-8,3.5778736077648317e-10,2.1816302486370923e-8,9.387503047948952e-8,2.060199062447648e-7,0.0449365997314453,27945.54000012284,9.2591929304396e-12,0.0027720949388361504,0.001765387581974184
2016-08-04T23:00:00.0,5467.919998356492,27306.3,12731.8124,32.865361,315.89484861404924,26538.179689926663,9.260894979716982e-12,1.574352146551887e-11,7.871760732759434e-12,4.380946842432721e-8,5.41413170060145e-10,3.301299817439908e-8,5467.919998312667,11999.999996296947,0.0471473999023437,32774.21999835649,9.260894979716982e-12,0.002772094938836018,0.0017653875819698378
2016-08-05T00:00:00.0,6454.428729858071,26590.11,12235.1989,33.261917,283.03225970953713,25806.3690516442,9.264228047137256e-12,1.5749187680133335e-11,7.874593840066668e-12,986.5087299003197,12.19162975396321,743.3920581684883,5467.919999957736,11999.999999907246,0.0480767593383789,33044.538729858075,9.264228047137256e-12,0.0027720949388353815,0.0017653875819820559
2016-08-05T01:00:00.0,7758.899291658649,25956.32,11446.4837,31.099472,261.964744558447,26314.563975107514,9.264250548889371e-12,1.574922593311193e-11,7.874612966555965e-12,2290.9792917010077,28.31274620472724,1726.3869637028804,5467.919999957626,11999.999999907004,0.0564536781311035,33715.21929165865,9.264250548889371e-12,0.002772094938833557,0.001765387582001006
2016-08-05T02:00:00.0,1.601988487679518e-8,24987.47,9472.32862,28.815056,259.18079085812093,28594.469004104987,9.244127178439178e-12,1.5715016203346602e-11,7.857508101673301e-12,7.246927063788124e-9,8.956013154045572e-11,5.4609836305155926e-9,8.757242796803711e-9,1.921880963175111e-8,0.0570415687561035,24987.47000001602,9.244127178439178e-12,0.0027720949388336095,0.0017653875820977695
2016-08-05T03:00:00.0,2.219274526159602e-8,24783.72,7995.356390000001,42.646361,230.36850695315715,19122.142149517247,9.249146441457625e-12,1.5723548950477962e-11,7.861774475238981e-12,9.657387834451819e-9,1.1934947284243689e-10,7.277406880636395e-9,1.2519633878193724e-8,2.7475823812039072e-8,0.0499212608337402,24783.720000022193,9.249146441457625e-12,0.002772094938837311,0.0017653875821694563
2016-08-05T04:00:00.0,3.8761818084161897e-8,24205.34,6626.78929,43.832861,187.72491804822332,11126.787524939584,9.25459309002204e-12,1.573280825303747e-11,7.866404126518735e-12,1.5124582243287695e-8,1.869150280222676e-10,1.1397257806235829e-8,2.3621503032621163e-8,5.184019451481623e-8,0.0421162300109863,24205.34000003876,9.25459309002204e-12,0.0027720949388364145,0.0017653875822172638
2016-08-05T05:00:00.0,2793.5599560021687,23185.36,6130.8009,45.798028,143.8948291433571,4500.000000390404,9.261598166213949e-12,1.5744716882563712e-11,7.872358441281856e-12,5.065969532145808e-8,6.260707382388862e-10,3.817504501456623e-8,2793.5599559514935,6130.7991834953555,0.0368024291992187,25978.919956002166,9.261598166213949e-12,0.002772094938834828,0.0017161480787083326
2016-08-05T06:00:00.0,11262.619291648782,22452.6,5704.178220000001,44.799889,98.09957323892988,4500.000000072012,9.266063837596338e-12,1.5752308523913774e-11,7.876154261956887e-12,5912.775488834619,73.07220645220683,4455.6223446467575,5349.843802814148,11740.867758447414,0.0334301300048828,33715.21929164878,9.266063837596338e-12,0.0027720949388270553,0.0014492032883629497
2016-08-05T07:00:00.0,11716.92262168669,21998.29667,5373.736086,40.40583328,126.37466278608353,14992.31333236947,9.266040434410193e-12,1.5752268738497327e-11,7.876134369248663e-12,7444.973019259388,92.00765469984987,5610.22284755182,4271.949602427287,9375.300887563724,0.0287674407958984,33715.21929168669,9.266040434410193e-12,0.0027720949388222687,0.001449203288369629
2016-08-05T08:00:00.0,12293.389571687349,21421.82972,5616.606453,41.81519438,177.97925630088045,24604.1024306883,9.26604087302148e-12,1.5752269484136516e-11,7.876134742068258e-12,8665.052491880968,107.08583571312482,6529.624128849074,3628.3370798063634,7962.816748905682,0.0278233394622802,33715.21929168735,9.26604087302148e-12,0.0027720949388199186,0.0014492032883633731
2016-08-05T09:00:00.0,12839.419291691887,20875.8,5371.76153,48.233806,243.25266972895196,33479.93830464635,9.26604222117197e-12,1.5752271775992346e-11,7.876135887996173e-12,9496.71351136995,117.36380175954568,7156.329375582053,3342.7057803219204,7335.964930698153,0.0282409591674804,33715.21929169189,9.26604222117197e-12,0.002772094938819937,0.001449203288368872
2016-08-05T10:00:00.0,12886.279291693185,20828.94,5274.17584,42.227806,312.38543758344304,42600.47253012984,9.266041091353765e-12,1.57522698553014e-11,7.8761349276507e-12,9705.58990193635,119.94517133180184,7313.729959256209,3180.6893897568184,6980.400714912036,0.0271795291900634,33715.21929169318,9.266041091353765e-12,0.002772094938817783,0.001449203288371114
2016-08-05T11:00:00.0,12826.779291692068,20888.44,5308.7152399999995,45.467,390.1055750101917,51620.42881350137,9.266042487774029e-12,1.5752272229215848e-11,7.876136114607924e-12,9488.086191531027,117.25718223753111,7149.828185215311,3338.693100161025,7327.158627399871,0.028423250198364208,33715.21929169207,9.266042487774029e-12,0.0027720949388201585,0.0014492032883704387
2016-08-05T12:00:00.0,12175.4392916902,21539.78,5593.68746,53.288583499999994,461.89852934266986,60788.701835319844,9.266043021654415e-12,1.5752273136812504e-11,7.876136568406252e-12,8601.462702511897,106.29997022139364,6481.705501304489,3573.976589178287,7843.516194483358,0.028817810058593706,33715.2192916902,9.266043021654415e-12,0.0027720949388253743,0.0014492032883642203
2016-08-05T13:00:00.0,10746.749291691753,22968.47,5686.40272,58.002222200000006,514.9126881590105,69520.23752031098,9.266039734851871e-12,1.575226754924818e-11,7.87613377462409e-12,6952.964346776571,85.92723453848389,5239.465520639261,3793.7849449151668,8325.911743218994,0.0311097908020019,33715.219291691756,9.266039734851871e-12,0.0027720949388325192,0.0014492032883630678
2016-08-05T14:00:00.0,9683.699291680041,24031.52,5781.5370299999995,55.21786120000001,542.840472592441,77399.21351337252,9.26605748060043e-12,1.575229771702073e-11,7.876148858510365e-12,5114.086154780811,63.201716355066615,3853.7631923821104,4569.613136899214,10028.558874817218,0.0305926494598388,33715.21929168004,9.26605748060043e-12,0.00277209493884418,0.0014492032883627825
2016-08-05T15:00:00.0,2816.633093892212,25371.9,6181.43746,49.36850020000001,550.8270998424542,85499.99999977514,9.264607312755603e-12,1.5749832431684524e-11,7.874916215842262e-12,1.5987573227253378e-7,1.9758018103979956e-9,1.2047572014621924e-7,2816.6330937323205,6181.435925322215,0.0293782596588134,28188.533093892212,9.264607312755603e-12,0.0027720949388622936,0.00153469636867752
2016-08-05T16:00:00.0,3014.361991491475,26437.02,6615.37724,47.152139,501.4613717393767,85499.9999999142,9.260905809249967e-12,1.5743539875724944e-11,7.871769937862472e-12,4.3383469671036845e-8,5.361485242254437e-10,3.2691983184478274e-8,3014.3619914480755,6615.375480507561,0.0294841804504394,29451.381991491475,9.260905809249967e-12,0.002772094938865764,0.0017587672348959116
2016-08-05T17:00:00.0,1.1648337393650877e-7,27206.18,8093.03001,41.856667,454.3120048348597,85499.99999922169,9.258820895275047e-12,1.573999552196758e-11,7.86999776098379e-12,2.748373995206676e-8,3.3965394486033723e-10,2.0710606393923e-8,8.898389398892005e-8,1.952857261750429e-7,0.0293848400115966,27206.180000116485,9.258820895275047e-12,0.0027720949388665454,0.0017834660714354334
2016-08-05T18:00:00.0,6.79699985480029e-8,27665.49,10056.2546,34.950083,412.4581099301463,77406.97177290375,9.257340165072069e-12,1.5737478280622516e-11,7.868739140311258e-12,2.148352833241985e-8,2.6550117125076704e-10,1.61890958079736e-8,4.647073273730243e-8,1.0198554346947818e-7,0.030958360671997,27665.49000006797,9.257340165072069e-12,0.0027720949388658194,0.0017834660713418736
2016-08-05T19:00:00.0,6.66886660539316e-8,27513.87,10750.1828,34.078944,377.51079902535787,67350.71895648801,9.257267451407432e-12,1.5737354667392634e-11,7.868677333696317e-12,2.1255610838529646e-8,2.62684484874113e-10,1.6017346638665425e-8,4.541731786073456e-8,9.967369938272958e-8,0.032696258544921794,27513.870000066687,9.257267451407432e-12,0.0027720949388662696,0.0017834660713066815
2016-08-05T20:00:00.0,9.092097544796937e-8,27750.38,11616.7405,34.673445,343.434627120567,56600.537940069764,9.258268409992071e-12,1.573905629698652e-11,7.86952814849326e-12,2.4890212160862414e-8,3.076021954651015e-10,1.875623143079887e-8,6.601502423080997e-8,1.4487781291052533e-7,0.0336183891296386,27750.38000009092,9.258268409992071e-12,0.002772094938866848,0.0017834660712776214
2016-08-05T21:00:00.0,1.1895971164510102e-7,27529.95,12218.4165,32.893444,308.7639542158227,44983.79922369947,9.258877378966738e-12,1.5740091544243455e-11,7.870045772121727e-12,2.7779651190241988e-8,3.433109223877776e-10,2.0933592828523024e-8,9.116432036331479e-8,2.0007093087678265e-7,0.0362879981994628,27529.95000011896,9.258877378966738e-12,0.0027720949388663325,0.0017834660712633492
